name,world_ranking,region_ranking,country_ranking,region,country,city\state,acceptance_rate,publication,website,phone_no,address
"Trinity College Dublin, University of Dublin",,,,North America,United States,California,5%,"44,721",tcd.ie,+353 (1) 677 2941,"College Green
 Dublin, County Dublin, D02 PN40 
Ireland"
Tsinghua University,"#54 of 14,131","#2 of 5,830",#1 of 960,Asia,China,Guangzhou,,"188,228",www.tsinghua.edu.cn,+86 (10) 6278 3769,"30 Shuang Qing Road, Haidian District
 Beijing, Beijing, 100084 
China"
Tufts University,"#94 of 14,131","#62 of 2,597","#58 of 2,496",North America,United States,Massachusetts,64%,"58,748",www.tufts.edu,6176285000,"419 Boston Avenue
 Medford, Massachusetts, 02155-5555 
United States"
Tulane University of Louisiana,,,,North America,United States,Missouri,15%,"42,442",tulane.edu,5048655000,"6823 St. Charles Avenue
 New Orleans, Louisiana, 70118-5698 
United States"
Umea University,,,,Europe,United Kingdom,England,63%,"46,247",umu.se,+46 (90) 786 5000,"Campus Umeå
 Umeå, Vasterbotten County, 901 87 
Sweden"
University at Buffalo,"#182 of 14,131","#95 of 2,597","#84 of 2,496",Asia,Israel,Tel Aviv,8%,"54,629",buffalo.edu,7166452000,"12 Capen Hall
 Buffalo, New York, 14260-1660 
United States"
University College Dublin,,,,Oceania,Australia,Melbourne,5%,"49,569",www.ucd.ie,+353 (1) 716 7777,"Belfield
 Dublin, County Dublin, D04 V1W8 
Ireland"
University College London,"#20 of 14,131","#3 of 2,785",#3 of 163,Europe,Sweden,Umea,,"191,386",www.ucl.ac.uk,+44 (20) 7679 2000,"Gower Street
 London, London, WC1E 6BT 
United Kingdom"
University of Aberdeen,,,,North America,United States,New York State,32%,"44,656",www.abdn.ac.uk,+44 (1224) 272 000,"Elphinstone Road, King's College
 Aberdeen, Scotland, AB24 3FX 
United Kingdom"
University of Adelaide,"#183 of 14,131",#8 of 59,#7 of 40,Asia,Taiwan,Taipei,77%,"68,176",www.adelaide.edu.au,+61 (0)8 8303 4455,"North Terrace
 Adelaide, South Australia, 5005 
Australia"
University of Alabama,,,,Oceania,Australia,Sydney,84%,"75,882",www.uab.edu,2053486010,"739 University Blvd
 Tuscaloosa, Alabama, 35487-0100 
United States"
University of Alabama at Birmingham,"#192 of 14,131","#98 of 2,597","#87 of 2,496",Asia,China,Hangzhou,32%,"44,011",ua.edu,2059344011,"Administration Bldg Suite 1070
 Birmingham, Alabama, 35294-0110 
United States"
University of Alberta,"#78 of 14,131","#56 of 2,597",#4 of 101,Europe,United Kingdom,England,60%,"134,970",www.ualberta.ca,+1 (780) 492 3111,"116 St. and 85 Ave.
 Edmonton, Alberta, T6G 2R3 
Canada"
University of Amsterdam,"#68 of 14,131","#9 of 2,785",#1 of 58,North America,United States,Texas,,"125,528",www.uva.nl,+31 (20) 525 9111,"Spui 21
 Amsterdam, North Holland, 1012 WX 
Netherlands"
University of Arizona,"#42 of 14,131","#37 of 2,597","#35 of 2,496",North America,United States,Maryland,,"139,350",www.arizona.edu,5206212211,"1401 E University
 Tucson, Arizona, 85721-0066 
United States"
University of Auckland,"#174 of 14,131",#7 of 59,#1 of 8,Asia,China,Hong Kong,80%,"67,014",www.auckland.ac.nz,+64 (9) 373 7999,"Private Bag 92019
 Auckland, Auckland 
New Zealand"
University of Barcelona,"#107 of 14,131","#27 of 2,785",#1 of 75,North America,United States,Michigan,20%,"99,036",www.ub.edu,+34 934021100,"Gran Via de Les Corts Catalanes, 585
 Barcelona, Catalonia, 08007 
Spain"
University of Basel,,,,North America,United States,California,84%,"47,910",www.unibas.ch,+41 (61) 267 3111,"Postfach, Petersplatz 1
 Basel, Basel-Stadt, 4001 
Switzerland"
University of Bergen,,,,North America,United States,North Carolina,8%,"46,084",uib.no,+47 55 58 00 00,"Muséplassen 1
 Bergen, Hordaland, 5007 
Norway"
University of Bern,"#171 of 14,131","#56 of 2,785",#5 of 23,Europe,Germany,Lower Saxony,15%,"70,376",www.unibe.ch,+41 (31) 631 3470,"Hochschulstrasse 4
 Bern, Bern, 3012 
Switzerland"
University of Birmingham,"#101 of 14,131","#24 of 2,785",#10 of 163,Asia,Singapore,Singapore City,45%,"104,483",birmingham.ac.uk,+44 (121) 414 3344,"Edgbaston
 Birmingham, West Midlands, B15 2TT 
United Kingdom"
University of Bologna,"#98 of 14,131","#22 of 2,785",#1 of 88,Europe,Spain,Cerdanyola del Valles,25%,"102,678",www.unibo.it,+39 051 209 9965,"Via Zamboni, 33
 Bologna, Emilia-Romagna, 40126 
Italy"
University of Bonn,"#128 of 14,131","#33 of 2,785",#4 of 369,North America,United States,Texas,63%,"78,199",www.uni-bonn.de,+49 (228) 73 0,"Regina-Pacis-Weg 3
 Bonn, North Rhine-Westphalia, 53113 
Germany"
University of Bristol,"#99 of 14,131","#23 of 2,785",#9 of 163,North America,Canada,Quebec State,71%,"104,546",bristol.ac.uk,+44 (117) 928 9000,"Beacon House, Queens Road
 Bristol, South West England, BS8 1QU 
United Kingdom"
University of British Columbia,"#33 of 14,131","#29 of 2,597",#2 of 101,Europe,Switzerland,Lausanne,,"184,212",www.ubc.ca,+1 (604) 822 8999,"2329 West Mall
 Vancouver, British Columbia, V6T 1Z4 
Canada"
University of Buenos Aires,,,,North America,United States,Maryland,11%,"52,468",uba.ar,+54 (11) 4510 1100,"Viamonte 430/444 y Reconquista 694
 Buenos Aires, City of Buenos Aires, C1053 
Argentina"
University of Calgary,"#131 of 14,131","#77 of 2,597",#8 of 101,North America,United States,New Mexico,49%,"92,888",ucalgary.ca,+1 (403) 210 7625,"2500 University Drive NW
 Calgary, Alberta, T2N 1N4 
Canada"
University of California - Berkeley,"#5 of 14,131","#5 of 2,597","#5 of 2,496",North America,United States,Oklahoma State,,"241,635",www.berkeley.edu,5106426000,"200 California Hall
 Berkeley, California, 94720 
United States"
University of California - Davis,"#34 of 14,131","#30 of 2,597","#28 of 2,496",Europe,Norway,Trondheim,,"155,482",www.ucdavis.edu,5307521011,"One Shields Avenue
 Davis, California, 95616-8678 
United States"
University of California - Irvine,"#56 of 14,131","#46 of 2,597","#43 of 2,496",Europe,Switzerland,Basel,,"101,320",uci.edu,9498245011,"501 Aldrich Hall
 Irvine, California, 92697 
United States"
University of California - Los Angeles,"#6 of 14,131","#6 of 2,597","#6 of 2,496",North America,United States,Kentucky,,"247,701",www.ucla.edu,3108254321,"405 Hilgard Ave
 Los Angeles, California, 90095-1405 
United States"
University of California - Riverside,,,,Europe,Germany,Bavaria,55%,"48,643",ucr.edu,9518271012,"900 University Ave
 Riverside, California, 92521 
United States"
University of California - San Francisco,"#46 of 14,131","#40 of 2,597","#38 of 2,496",Europe,United Kingdom,England,,"160,816",www.ucsf.edu,4154769000,"500 Parnassus Ave
 San Francisco, California, 94143-0244 
United States"
University of California - Santa Barbara,"#84 of 14,131","#59 of 2,597","#55 of 2,496",North America,United States,Oklahoma State,85%,"72,006",www.ucsb.edu,8058938000,"5221 Cheadle Hall
 Santa Barbara, California, 93106 
United States"
University of California - Santa Cruz,"#176 of 14,131","#93 of 2,597","#83 of 2,496",North America,United States,New Hampshire,49%,"40,788",www.ucsc.edu,8314590111,"1156 High St
 Santa Cruz, California, 95064-1011 
United States"
University of California-San Diego,"#30 of 14,131","#26 of 2,597","#25 of 2,496",North America,Canada,British Columbia,,"179,956",ucsd.edu,8585342230,"9500 Gilman Dr
 La Jolla, California, 92093 
United States"
University of Cambridge,"#7 of 14,131","#1 of 2,785",#1 of 163,Europe,Belgium,Brussels,,"260,850",www.cam.ac.uk,+44 (1223) 337 733,"The Old Schools, Trinity Lane
 Cambridge, East of England, CB2 1TN 
United Kingdom"
University of Cape Town,,,,Oceania,Australia,Sydney,46%,"56,979",www.uct.ac.za,+27 (21) 650 9111,"Private Bag
 Cape Town, Western Cape, 7700 
South Africa"
University of Central Florida,,,,North America,United States,Michigan,63%,"44,002",www.ucf.edu,4078232000,"4000 Central Florida Blvd
 Orlando, Florida, 32816 
United States"
University of Chicago,"#27 of 14,131","#23 of 2,597","#22 of 2,496",Europe,Portugal,Porto,,"148,394",www.uchicago.edu,7737021234,"5801 S Ellis Ave
 Chicago, Illinois, 60637 
United States"
University of Chile,,,,North America,United States,Colorado,27%,"59,554",www.uchile.cl,+56 (2) 978 2000,"Avenida Libertador Bernardo O'Higgins Nº 1058
 Santiago, Region Metropolitana de Santiago 
Chile"
University of Cincinnati,"#188 of 14,131","#96 of 2,597","#85 of 2,496",North America,United States,Kansas State,14%,"66,150",www.uc.edu,5135566000,"2624 Clifton Avenue
 Cincinnati, Ohio, 45221-0063 
United States"
University of Cologne,"#185 of 14,131","#61 of 2,785",#13 of 369,Europe,Belgium,Ghent,84%,"60,512",uni-koeln.de,,"Albertus-Magnus-Platz
 Köln, North Rhine-Westphalia, 50923 
Germany"
University of Colorado Boulder,"#58 of 14,131","#47 of 2,597","#44 of 2,496",Latin America,Chile,Santiago,,"104,806",www.colorado.edu,3034921411,"Regent Drive at Broadway
 Boulder, Colorado, 80309-0017 
United States"
University of Connecticut,"#122 of 14,131","#73 of 2,597","#67 of 2,496",North America,Canada,Ontario,89%,"72,332",uconn.edu,8604862000,"352 Mansfield Road
 Storrs, Connecticut, 06269 
United States"
University of Copenhagen,"#73 of 14,131","#11 of 2,785",#1 of 27,Europe,Germany,North Rhine-Westphalia,,"136,745",www.ku.dk,+45 3532 2626,"Nørregade 10, Postboks 2177
 Copenhagen, Capital Region of Denmark, 1165 
Denmark"
University of Delaware,,,,Europe,Norway,Oslo,40%,"48,999",udel.edu,3028312000,"104 Hullihen Hall
 Newark, Delaware, 19716 
United States"
University of East Anglia,,,,North America,United States,Pennsylvania,9%,"34,363",www.uea.ac.uk,+44 (1603) 456 161,"Norwich Research Park
 Norwich, East of England, NR4 7TJ 
United Kingdom"
University of Edinburgh,"#37 of 14,131","#4 of 2,785",#4 of 163,North America,United States,Vermont,,"142,627",www.ed.ac.uk,+44 (131) 650 1000,"Old College, South Bridge
 Edinburgh, Scotland, EH8 9YL 
United Kingdom"
University of Erlangen Nuremberg,,,,Asia,Japan,Suita,91%,"76,010",www.fau.de,+49 (9131) 85 24444,"Schlossplatz 4
 Erlangen, Bavaria, 91054 
Germany"
University of Exeter,,,,North America,Canada,Alberta,17%,"46,419",www.exeter.ac.uk,+44 (1392) 661 000,"Northcote House, The Queen's Drive
 Exeter, South West England, EX4 4QJ 
United Kingdom"
University of Florence,,,,North America,United States,Virginia,7%,"70,023",www.unifi.it,+39 055 27571,"Piazza San Marco, 4
 Firenze, Toscana, 50121 
Italy"
University of Florida,"#32 of 14,131","#28 of 2,597","#27 of 2,496",North America,United States,West Virginia,,"174,050",www.ufl.edu,3523923261,"Tigert Hall
 Gainesville, Florida, 32611 
United States"
University of Freiburg,"#155 of 14,131","#48 of 2,785",#10 of 369,Europe,Germany,Baden-Wurttemberg,14%,"68,881",uni-freiburg.de,+49 (761) 203-0,"Friedrichstr. 39
 Freiburg im Breisgau, Baden-Wurttemberg, 79098 
Germany"
University of Geneva,"#168 of 14,131","#54 of 2,785",#4 of 23,Europe,Germany,Hamburg State,24%,"58,581",unige.ch,+41 (22) 379 7111,"24, Rue du Général-Dufour
 Geneva, Geneva, 1211 
Switzerland"
University of Georgia,"#80 of 14,131","#57 of 2,597","#53 of 2,496",Europe,Belgium,Liege,67%,"81,584",www.uga.edu,7065423000,"Administration Building
 Athens, Georgia, 30602 
United States"
University of Glasgow,"#91 of 14,131","#18 of 2,785",#8 of 163,Europe,Germany,Brandenburg,71%,"90,413",www.gla.ac.uk,+44 (141) 330 2000,"University Avenue
 Glasgow, Scotland, G12 8QQ 
United Kingdom"
University of Gothenburg,,,,Europe,Sweden,Lund,75%,"57,498",gu.se,+46 (31) 786 1000,"PO Box 100
 Göteborg, Vastra Gotaland County, 405 30 
Sweden"
University of Gottingen,"#130 of 14,131","#34 of 2,785",#5 of 369,Europe,Switzerland,Bern,27%,"77,583",uni-goettingen.de,+49 (551) 390,"Wilhelmsplatz 1
 Göttingen, Lower Saxony, 37073 
Germany"
University of Granada,,,,North America,United States,Massachusetts,5%,"54,962",www.ugr.es,+34 958 243 000,"Avenida del Hospicio, s/n
 Granada, Andalucia, 18010 
Spain"
University of Groningen,"#161 of 14,131","#50 of 2,785",#4 of 58,Europe,Netherlands,Delft,35%,"61,271",www.rug.nl,+31 (50) 363 5420,"Broerstraat 5
 Groningen, Groningen, 9712 CP 
Netherlands"
University of Hamburg,"#133 of 14,131","#35 of 2,785",#6 of 369,Europe,Switzerland,Geneva,24%,"80,199",www.uni-hamburg.de,+49 (40) 42838-0,"Mittelweg 177
 Hamburg, Hamburg, 20148 
Germany"
University of Helsinki,"#87 of 14,131","#17 of 2,785",#1 of 36,Europe,Germany,Saxony,35%,"100,167",www.helsinki.fi,+358 (9) 1911,"PO Box 33, Fabianinkatu 33
 Helsinki, Uusimaa, 00014 
Finland"
University of Hong Kong,"#127 of 14,131","#12 of 5,830",#5 of 960,Oceania,New Zealand,Auckland,83%,"88,028",hku.hk,+852 2859 2111,"Pok Fu Lam Road
 Hong Kong 
China"
University of Houston,,,,Asia,Singapore,Singapore City,41%,"48,378",uh.edu,7137431000,"212 E. Cullen Building
 Houston, Texas, 77204-2018 
United States"
University of Illinois at Chicago,"#103 of 14,131","#66 of 2,597","#62 of 2,496",Asia,Japan,Nagoya,70%,"96,408",www.uic.edu,3129967000,"601 S Morgan
 Chicago, Illinois, 60607 
United States"
University of Illinois at Urbana - Champaign,"#21 of 14,131","#17 of 2,597","#16 of 2,496",Europe,Italy,Campania,,"202,516",illinois.edu,2173331000,"601 E John Street
 Champaign, Illinois, 61820-5711 
United States"
University of Iowa,"#69 of 14,131","#52 of 2,597","#49 of 2,496",Europe,United Kingdom,England,,"96,816",uiowa.edu,3193353500,"101 Jessup Hall
 Iowa City, Iowa, 52242-1316 
United States"
University of Kansas,"#113 of 14,131","#70 of 2,597","#65 of 2,496",North America,United States,Ohio,25%,"71,719",ku.edu,7858642700,"Strong Hall, 1450 Jayhawk Blvd, Room 230
 Lawrence, Kansas, 66045 
United States"
University of Kentucky,"#102 of 14,131","#65 of 2,597","#61 of 2,496",Europe,United Kingdom,England,5%,"80,936",uky.edu,8592579000,"South Limestone
 Lexington, Kentucky, 40506-0032 
United States"
University of Lausanne,,,,North America,Canada,British Columbia,46%,"41,658",unil.ch,+41 (21) 692 1111,"Unicentre
 Lausanne, Vaud, 1015 
Switzerland"
University of Leeds,"#108 of 14,131","#28 of 2,785",#11 of 163,North America,United States,Utah,3%,"92,009",leeds.ac.uk,+44 (113) 243 1751,"Woodhouse Lane
 Leeds, Yorkshire and the Humber, LS2 9JT 
United Kingdom"
University of Leicester,,,,Asia,China,Beijing,79%,"56,904",le.ac.uk,+44 (116) 252 2522,"University Road
 Leicester, East Midlands, LE1 7RH 
United Kingdom"
University of Leipzig,"#197 of 14,131","#67 of 2,785",#15 of 369,Europe,Italy,Lazio,78%,"52,599",www.uni-leipzig.de,+49 (341) 97 108,"Ritterstrasse 26
 Leipzig, Saxony, 04109 
Germany"
University of Liege,,,,North America,United States,Georgia,88%,"140,300",uliege.be,+32 (4) 366 9666,"Place du 20 Août 7
 Liège, Liege, 4000 
Belgium"
University of Liverpool,"#180 of 14,131","#59 of 2,785",#18 of 163,North America,United States,Oregon,9%,"84,784",www.liverpool.ac.uk,+44 (151) 794 2000,"The Foundation Building, Brownlow Hill
 Liverpool, North West England, L69 7ZX 
United Kingdom"
University of London,,,,North America,United States,Iowa State,17%,"80,122",london.ac.uk,+44 (20) 7862 8000,"Senate House, Malet Street
 London, London, WC1E 7HU 
United Kingdom"
University of Louisville,,,,North America,United States,California,14%,"43,893",louisville.edu,5028525555,"2301 S 3rd St
 Louisville, Kentucky, 40292-0001 
United States"
University of Manchester,"#60 of 14,131","#7 of 2,785",#6 of 163,North America,United States,Virginia,,"151,596",manchester.ac.uk,+44 (161) 306 6000,"Oxford Road
 Manchester, North West England, M13 9PL 
United Kingdom"
University of Manitoba,,,,Europe,Germany,Bavaria,88%,"57,289",umanitoba.ca,+1 (204) 474 8880,"66 Chancellors Circle
 Winnipeg, Manitoba, R3T 2N2 
Canada"
University of Maryland - College Park,"#36 of 14,131","#32 of 2,597","#30 of 2,496",Europe,Belgium,Louvain-la-Neuve,,"140,073",umd.edu,3014051000,"Baltimore Boulevard
 College Park, Maryland, 20742 
United States"
"University of Maryland, Baltimore",,,,North America,United States,Arizona,17%,"56,037",www.umaryland.edu,4107063100,"620 West Lexington St
 Baltimore, Maryland, 21201-1627 
United States"
University of Massachusetts - Amherst,"#90 of 14,131","#61 of 2,597","#57 of 2,496",Asia,China,Wuhan,2%,"74,126",umass.edu,4135450111,"374 Whitmore Building 181 Presidents Drive
 Amherst, Massachusetts, 01003 
United States"
University of Melbourne,"#53 of 14,131",#1 of 59,#1 of 40,Europe,Ireland,Dublin,,"155,134",www.unimelb.edu.au,+61 (0)3 8344 4000,"Swanston Street, Parkville
 Melbourne, Victoria, 3010 
Australia"
University of Miami,"#100 of 14,131","#64 of 2,597","#60 of 2,496",Asia,China,Nanjing,26%,"88,306",welcome.miami.edu,3052842211,"University of Miami
 Coral Gables, Florida, 33146 
United States"
University of Michigan - Ann Arbor,"#3 of 14,131","#3 of 2,597","#3 of 2,496",Europe,Germany,Thuringia,,"305,066",umich.edu,7347641817,"503 Thompson Street
 Ann Arbor, Michigan, 48109 
United States"
University of Milan,"#124 of 14,131","#32 of 2,785",#3 of 88,Asia,Japan,Fukuoka,45%,"124,921",www.unimi.it,+39 02 503 111,"Via Festa del Perdono, 7
 Milano, Lombardia, 20122 
Italy"
University of Minnesota - Twin Cities,"#17 of 14,131","#15 of 2,597","#14 of 2,496",Asia,Japan,Tokyo,,"227,099",twin-cities.umn.edu,6126255000,"100 Church Street SE
 Minneapolis, Minnesota, 55455-0213 
United States"
University of Missouri - Columbia,"#112 of 14,131","#69 of 2,597","#64 of 2,496",Europe,Netherlands,Rotterdam,55%,"73,560",missouri.edu,5738822121,"105 Jesse Hall
 Columbia, Missouri, 65211 
United States"
University of Montreal,"#105 of 14,131","#67 of 2,597",#5 of 101,Asia,Japan,Sapporo,11%,"90,860",www.umontreal.ca,+1 (514) 343 6111,"CP 6128, Succursale Centre Ville
 Montréal, Quebec, H3C 3J7 
Canada"
University of Munich,"#57 of 14,131","#6 of 2,785",#1 of 369,North America,Canada,Manitoba,,"145,451",www.lmu.de,+49 (89) 21800,"Geschwister-Scholl-Platz 1
 München, Bavaria, 80539 
Germany"
University of Munster,"#186 of 14,131","#62 of 2,785",#14 of 369,Europe,United Kingdom,England,59%,"62,717",www.uni-muenster.de,+49 (251) 83 0,"Schlossplatz 2
 Münster, North Rhine-Westphalia, 48149 
Germany"
University of Nebraska - Lincoln,"#126 of 14,131","#75 of 2,597","#69 of 2,496",North America,United States,Oregon,35%,"54,930",www.unl.edu,4024727211,"1400 R Street
 Lincoln, Nebraska, 68588-0419 
United States"
University of New Mexico,"#170 of 14,131","#90 of 2,597","#80 of 2,496",North America,Canada,Alberta,73%,"57,197",www.unm.edu,5052770111,"1700 Lomas Blvd NE
 Albuquerque, New Mexico, 87106 
United States"
University of New South Wales,"#64 of 14,131",#2 of 59,#2 of 40,North America,United States,Alabama,,"135,814",www.unsw.edu.au,+61 (0)2 9385 1000,"Gate 9, High Street, Kensington
 Sydney, New South Wales, 2052 
Australia"
University of North Carolina at Chapel Hill,"#29 of 14,131","#25 of 2,597","#24 of 2,496",Europe,Italy,Lombardy,,"164,047",www.unc.edu,9199622211,"103 South Bldg Cb 9100
 Chapel Hill, North Carolina, 27599 
United States"
University of Notre Dame,"#149 of 14,131","#85 of 2,597","#75 of 2,496",Europe,Germany,Brandenburg,87%,"52,681",www.nd.edu,5746315000,"400 Main Building
 Notre Dame, Indiana, 46556 
United States"
University of Nottingham,"#115 of 14,131","#29 of 2,785",#12 of 163,Europe,Germany,North Rhine-Westphalia,80%,"107,846",nottingham.ac.uk,+44 (115) 951 5151,"University Park
 Nottingham, East Midlands, NG7 2RD 
United Kingdom"
University of Oklahoma - Norman,,,,North America,United States,California,66%,"48,417",null,4053250311,"660 Parrington Oval
 Norman, Oklahoma, 73019-3072 
United States"
University of Oregon,"#175 of 14,131","#92 of 2,597","#82 of 2,496",North America,United States,Nebraska,33%,"36,822",www.uoregon.edu,5413461000,"110 Johnson Hall
 Eugene, Oregon, 97403 
United States"
University of Oslo,"#97 of 14,131","#21 of 2,785",#1 of 29,North America,United States,Delaware,39%,"85,049",www.uio.no,+47 22 85 50 50,"PO Box 1072, Blindern
 Oslo, Oslo, 0316 
Norway"
University of Otago,,,,North America,United States,New York State,7%,"47,309",www.otago.ac.nz,+64 (3) 479 1100,"PO Box 56
 Dunedin, Otago 
New Zealand"
University of Ottawa,"#179 of 14,131","#94 of 2,597",#11 of 101,North America,United States,Connecticut,19%,"78,874",www.uottawa.ca,+1 (613) 562 5800,"PO Box 450 Stn A
 Ottawa, Ontario, K1N 6N5 
Canada"
University of Oxford,"#10 of 14,131","#2 of 2,785",#2 of 163,North America,United States,North Carolina,,"241,392",www.ox.ac.uk,,"Wellington Square
 Oxford, South East England, OX1 2JD 
United Kingdom"
University of Padua,"#151 of 14,131","#45 of 2,785",#4 of 88,Europe,Denmark,Aarhus,20%,"100,320",www.unipd.it,+39 049 827 3131,"Via VIII Febbraio, 2
 Padova, Veneto, 35122 
Italy"
University of Pennsylvania,"#12 of 14,131","#10 of 2,597","#10 of 2,496",Europe,United Kingdom,England,,"232,058",www.upenn.edu,2158985000,"34th & Spruce Street
 Philadelphia, Pennsylvania, 19104-6303 
United States"
University of Pisa,,,,Europe,Switzerland,Zurich,21%,"63,169",unipi.it,+39 050 221 2111,"Lungarno Pacinotti, 43
 Pisa, Toscana, 56126 
Italy"
University of Pittsburgh,"#38 of 14,131","#33 of 2,597","#31 of 2,496",North America,United States,Massachusetts,,"176,141",www.pitt.edu,4126244141,"4200 Fifth Avenue
 Pittsburgh, Pennsylvania, 15260 
United States"
University of Porto,,,,North America,United States,Illinois,9%,"57,373",up.pt,+351 (22) 040 8000,"Praça Gomes Teixeira
 Porto, Porto, 4099-002 
Portugal"
University of Queensland,"#75 of 14,131",#4 of 59,#4 of 40,Asia,China,Wuhan,,"134,759",uq.edu.au,+61 (0)7 3365 1111,"Chancellor's Place
 St Lucia, Queensland, 4072 
Australia"
University of Reading,,,,North America,United States,New Jersey,6%,"42,254",www.reading.ac.uk,+44 (118) 987 5123,"Whiteknights Campus, PO Box 217
 Reading, South East England, RG6 6AH 
United Kingdom"
University of Rochester,"#66 of 14,131","#50 of 2,597","#47 of 2,496",Europe,Italy,Piedmont,,"100,238",rochester.edu,5852753221,"Wilson Blvd. - Wallis Hall
 Rochester, New York, 14627-0011 
United States"
University of Sao Paulo,"#48 of 14,131","#1 of 1,756",#1 of 198,Europe,United Kingdom,Scotland,,"261,797",null,+55 (11) 3091 3500,"Rua da Reitoria 374 - Butantã
 São Paulo, Sao Paulo, 05508-220 
Brazil"
University of Science and Technology of China,,,,Europe,Switzerland,Zurich,65%,"91,913",ustc.edu.cn,+86 (551) 360 2847,"1129 Huizhou Avenue, Baohe
 Hefei, Anhui, 230026 
China"
University of Sheffield,"#137 of 14,131","#36 of 2,785",#13 of 163,Asia,China,Shanghai,66%,"91,975",www.sheffield.ac.uk,+44 (114) 222 2000,"Western Bank
 Sheffield, Yorkshire and the Humber, S10 2TN 
United Kingdom"
University of South Carolina - Columbia,"#191 of 14,131","#97 of 2,597","#86 of 2,496",Asia,China,Shanghai,17%,"53,491",sc.edu,8037777000,"Columbia-Campus
 Columbia, South Carolina, 29208 
United States"
University of South Florida,"#154 of 14,131","#86 of 2,597","#76 of 2,496",Europe,United Kingdom,England,25%,"64,274",usf.edu,8139742011,"4202 East Fowler Ave
 Tampa, Florida, 33620-9951 
United States"
University of Southampton,"#147 of 14,131","#42 of 2,785",#15 of 163,North America,United States,Florida,68%,"90,361",www.southampton.ac.uk,+44 (23) 8059 5000,"Gamma House, Enterprise Road
 Southampton, South East England, SO17 1BJ 
United Kingdom"
University of Southern California,"#31 of 14,131","#27 of 2,597","#26 of 2,496",North America,United States,Kansas State,,"150,632",usc.edu,2137402311,"University Park
 Los Angeles, California, 90089 
United States"
University of St Andrews,,,,Latin America,Brazil,Sao Paulo,20%,"41,331",www.st-andrews.ac.uk,+44 (1334) 46 2150,"College Gate, North Street
 St Andrews, Scotland, KY16 9AJ 
United Kingdom"
University of Stuttgart,,,,North America,United States,Texas,7%,"50,562",uni-stuttgart.de,+49 (711) 685 10,"Keplerstrasse 7
 Stuttgart, Baden-Wurttemberg, 70174 
Germany"
University of Sussex,,,,North America,United States,California,47%,"40,752",www.sussex.ac.uk,+44 (1273) 606 755,"Sussex House, Falmer
 Brighton, South East England, BN1 9RH 
United Kingdom"
University of Sydney,"#65 of 14,131",#3 of 59,#3 of 40,Africa,South Africa,Cape Town,,"166,488",www.sydney.edu.au,+61 (0)2 9351 2222,"Building A14, Camperdown
 Sydney, New South Wales, 2006 
Australia"
University of Tennessee - Knoxville,"#138 of 14,131","#82 of 2,597","#73 of 2,496",North America,United States,Pennsylvania,75%,"76,418",utk.edu,8659741000,"527 Andy Holt Tower
 Knoxville, Tennessee, 37996 
United States"
University of Texas at Austin,"#26 of 14,131","#22 of 2,597","#21 of 2,496",Europe,Germany,Baden-Wurttemberg,,"185,242",www.utexas.edu,5124713434,"110 Inner Campus Drive
 Austin, Texas, 78705 
United States"
University of Texas MD Anderson Cancer Center,,,,Europe,Netherlands,Amsterdam,37%,"86,041",www.mdanderson.org,8003921611,"1515 Holcombe Blvd.
 Houston, Texas, 77030-4009 
United States"
University of Tokyo,"#18 of 14,131","#1 of 5,830",#1 of 719,Europe,United Kingdom,Northern Ireland,,"309,445",www.u-tokyo.ac.jp,+81 (3) 3812 2111,"7-3-1 Hongo, Bunkyo-ku
 Tokyo, Tokyo, 113-8654 
Japan"
University of Toronto,"#16 of 14,131","#14 of 2,597",#1 of 101,Latin America,Brazil,Belo Horizonte,,"261,987",www.utoronto.ca,+1 (416) 978 2011,"27 King's College Circle
 Toronto, Ontario, M5S 1A1 
Canada"
University of Tsukuba,,,,Europe,Belgium,Leuven,8%,"72,120",www.tsukuba.ac.jp,+81 (29) 853 2111,"1-1-1 Tennodai
 Tsukuba, Ibaraki, 305-8577 
Japan"
University of Tubingen,"#146 of 14,131","#41 of 2,785",#7 of 369,Europe,Germany,Baden-Wurttemberg,81%,"75,185",uni-tuebingen.de,+49 (7071) 29 0,"Wilhelmstrasse 5
 Tübingen, Baden-Wurttemberg, 72074 
Germany"
University of Turin,,,,North America,United States,New York State,4%,"69,511",www.unito.it,+39 011 670 6111,"Via Verdi, 8
 Torino, Piemonte, 10124 
Italy"
University of Utah,"#63 of 14,131","#49 of 2,597","#46 of 2,496",North America,Canada,Nova Scotia,,"110,449",www.utah.edu,8015817200,"201 Presidents Circle, ROOM 201
 Salt Lake City, Utah, 84112-9008 
United States"
University of Valencia,,,,North America,United States,Arizona,35%,"61,369",www.uv.es,+34 963864101,"Avenida Blanco Ibáñez 13
 Valencia, Valencian Community, 46010 
Spain"
University of Vermont,,,,Europe,United Kingdom,Scotland,64%,"33,432",uvm.edu,8026563131,"85 S Prospect St
 Burlington, Vermont, 05405-0160 
United States"
University of Victoria,,,,North America,United States,California,16%,"37,240",uvic.ca,+1 (250) 721 7211,"PO Box 1700
 Victoria, British Columbia, V8W 2Y2 
Canada"
University of Vienna,"#92 of 14,131","#19 of 2,785",#1 of 71,Europe,Sweden,Stockholm,59%,"87,773",univie.ac.at,+43 (1) 4277 0,"Universitätsring 1
 Vienna, Vienna, 1010 
Austria"
