VehicleID,Location,Maker,Model,Year,Colour,Amount (Million Naira),Type,Distance
VHL16620,Lagos,Lexus,ES 350,"2,009",Black,4.65,Foreign Used,
VHL15048,Abuja,Jeep,Liberty 2.4,"2,003",Blue,1.75,Nigerian Used,
VHL11419,Abuja,Lexus,IS,"2,009",White,5.00,Foreign Used,"45,000"
VHL17243,Lagos,Lexus,RX 350L Luxury AWD,"2,019",Black,22.80,Foreign Used,"89,227"
VHL16070,Abuja,Toyota,Sienna XLE AWD,"2,009",Black,2.60,Nigerian Used,
VHL19651,Abuja,Ford,Escape,"2,014",Silver,3.50,Nigerian Used,"154,568"
VHL11621,Lagos,Toyota,Camry,"2,007",Gold,3.70,Foreign Used,"82,062"
VHL15254,Lagos,Lexus,ES 350,"2,008",Black,4.60,Foreign Used,"63,258"
VHL14913,Abuja,Nissan,Murano SE,"2,006",Red,1.45,Nigerian Used,"64,000"
VHL12540,Abuja,Lexus,RX 350 AWD,"2,012",Silver,10.00,Foreign Used,"73,453"
VHL16314,Lagos,Lexus,ES 350,"2,009",White,4.80,Foreign Used,"25,000"
VHL19609,Lagos,Mercedes-Benz,C250,"2,012",White,3.90,Nigerian Used,"91,214"
VHL10376,Abuja,Lexus,ES 350 FWD,"2,013",Black,12.38,Foreign Used,"10,850"
VHL16587,Lagos,Lexus,GX,"2,017",Silver,25.00,Foreign Used,
VHL16305,Lagos,Mercedes-Benz,GLS-Class GLS450 4Matic,"2,017",Green,38.00,Foreign Used,"45,000"
VHL17527,Abuja,BMW,X6,"2,013",Blue,14.50,Foreign Used,"64,858"
VHL19223,Lagos,Lexus,ES 350,"2,010",Black,4.95,Foreign Used,"44,132"
VHL11981,Lagos,Mercedes-Benz,S-Class S 500 L (V221),"2,006",Silver,8.50,Foreign Used,
VHL17971,Lagos,Toyota,Highlander Limited,"2,012",Blue,8.30,Foreign Used,"74,690"
VHL19625,Lagos,Lexus,GX 460 Luxury,"2,014",Red,18.70,Foreign Used,"61,000"
VHL11856,Lagos,Mercedes-Benz,GL-Class,"2,015",Black,16.50,Foreign Used,
VHL12505,Abuja,Toyota,Land Cruiser Prado,"2,011",Black,14.50,Nigerian Used,"50,000"
VHL12899,Abuja,Toyota,Camry LE FWD (2.5L 4cyl 8AM),"2,018",Gray,14.00,Foreign Used,"61,775"
VHL13086,Lagos,Toyota,Highlander SE 4x4 V6 (3.5L 6cyl 8A),"2,018",White,18.50,Foreign Used,
VHL15207,Abuja,Toyota,Camry,"2,010",Blue,2.70,Nigerian Used,
VHL16633,Abuja,Toyota,Camry XLE V6 FWD,"2,020",Black,20.00,Foreign Used,"4,508"
VHL13036,Abuja,Toyota,Corolla,"2,011",Gray,3.60,Nigerian Used,
VHL11410,Lagos,Mercedes-Benz,M Class ML 350 4Matic,"2,007",Blue,5.00,Foreign Used,"122,583"
VHL17604,Abuja,Toyota,Camry,"2,017",Gray,8.00,Foreign Used,"55,393"
VHL14481,Lagos,Mazda,MPV LX,"2,004",Gray,2.03,Nigerian Used,"141,216"
VHL16777,Lagos,Toyota,Venza V6 AWD,"2,010",Gray,7.50,Foreign Used,
VHL14521,Lagos,Mitsubishi,Pajero 3,"2,010",Gold,2.48,Nigerian Used,"179,544"
VHL14481,Lagos,Lexus,GX 470,"2,009",Gold,9.20,Foreign Used,"84,645"
VHL18356,Ibadan,Toyota,Corolla,"2,009",Silver,3.12,Nigerian Used,"89,000"
VHL12879,Abuja,Mercedes-Benz,GLK-Class,"2,011",Blue,7.40,Nigerian Used,
VHL14209,Lagos,Toyota,Highlander 4x4,"2,008",Blue,6.00,Foreign Used,"63,152"
VHL17610,Lagos,Lexus,GS,"2,007",Silver,2.92,,"242,032"
VHL14082,Lagos,Toyota,Camry,"2,009",Gray,4.05,Foreign Used,"64,344"
VHL18941,Lagos,Toyota,Tacoma Double Cab V6 Automatic,"2,009",Brown,8.50,Foreign Used,"85,000"
VHL12357,Abuja,Toyota,Land Cruiser 5.7 V8 VX-S,"2,020",Black,125.00,Brand New,
VHL16697,Lagos,Mercedes-Benz,M Class ML 350 4Matic Off,"2,012",White,13.00,Foreign Used,"98,524"
VHL11259,Lagos,Lexus,IS,"2,007",Blue,3.61,,"211,824"
VHL11148,Abuja,BMW,X6,"2,013",Black,11.00,Foreign Used,
VHL17090,Abuja,Toyota,Avensis 2 Advanced Automatic,"2,010",Black,2.85,Nigerian Used,
VHL14246,Lagos,Acura,MDX,"2,008",Blue,3.90,Foreign Used,
VHL16460,Lagos,Toyota,Sienna,"2,004",Green,2.36,Nigerian Used,"100,399"
VHL12634,Abuja,Mercedes-Benz,M Class ML 350 4Matic,"2,008",Black,3.30,Nigerian Used,"85,000"
VHL19243,Abuja,Toyota,Sienna,"2,006",Red,3.00,Foreign Used,"98,523"
VHL17542,Ibadan,Mercedes-Benz,C300,"2,013",Black,6.38,Foreign Used,"110,000"
VHL13736,Abuja,Honda,Accord,"2,017",Gray,6.80,Foreign Used,"52,143"
VHL19700,Abuja,Lexus,IS 350 AWD,"2,015",Black,10.00,Foreign Used,
VHL18577,Lagos,Lexus,GX,"2,006",Silver,6.45,Foreign Used,"74,690"
VHL18608,Abuja,Honda,Accord,"2,005",Gold,1.40,Nigerian Used,
VHL19136,Lagos,Lexus,RX 350 AWD,"2,009",Silver,5.40,Foreign Used,
VHL13951,Lagos,Toyota,RAV4,"2,015",White,10.45,Foreign Used,
VHL19110,Lagos,Lexus,IS 250,"2,007",Silver,4.50,Nigerian Used,"108,452"
VHL16432,Abuja,Toyota,Camry XSE FWD (2.5L 4cyl 8AM),"2,018",Brown,16.00,Foreign Used,
VHL18201,Lagos,Lexus,GX 460 Premium,"2,012",Gray,17.00,Foreign Used,
VHL13868,Ibadan,Honda,Accord 2 Comfort Automatic,"2,008",Gray,1.35,Nigerian Used,
VHL10487,Abuja,Toyota,Sienna,"2,006",Gold,3.37,,"156,789"
VHL13957,Abuja,Toyota,Corolla,"2,017",White,6.95,Foreign Used,"52,221"
VHL13463,Abuja,Ford,Edge,"2,012",Black,3.45,Nigerian Used,"98,653"
VHL15454,Lagos,Kia,Cadenza,"2,014",Gray,5.61,,"52,013"
VHL18531,Abuja,Mercedes-Benz,E300,"2,017",Silver,28.00,Foreign Used,"10,010"
VHL19246,Lagos,Lexus,ES 350,"2,011",Silver,6.10,Foreign Used,
VHL11564,Ibadan,Toyota,Corolla,"2,010",Silver,3.88,Foreign Used,"185,460"
VHL16132,Lagos,Lexus,IS 350 AWD,"2,014",Gray,14.50,Foreign Used,
VHL17449,Abuja,Hyundai,Genesis,"2,013",Black,5.45,Foreign Used,"45,123"
VHL16901,Abuja,Ford,Explorer,"2,006",Gray,2.00,Nigerian Used,"80,000"
VHL14288,Lagos,Lexus,RX,"2,009",Red,3.20,Nigerian Used,"98,234"
VHL13401,Abuja,Honda,Civic LX Sedan Automatic,"2,012",Gray,3.60,Foreign Used,
VHL13701,Abuja,Lexus,RX 350 AWD,"2,012",Black,9.00,Foreign Used,"49,000"
VHL12013,Abuja,Toyota,Camry,"2,011",Gold,2.80,Nigerian Used,"92,828"
VHL15793,Lagos,Lexus,RX 350 AWD,"2,012",Black,7.85,Nigerian Used,"107,542"
VHL14075,Ibadan,Toyota,Camry,"2,007",Silver,2.40,Nigerian Used,"99,000"
VHL14438,Abuja,Toyota,Avalon TRD,"2,020",Black,30.00,Brand New,"7,000"
VHL12393,Lagos,Suzuki,Swift,"2,018",Black,7.10,,62
VHL17513,Lagos,Lexus,ES 350,"2,007",Silver,4.10,Foreign Used,"100,852"
VHL18092,Lagos,Lexus,IS,"2,012",Black,6.20,Foreign Used,
VHL16827,Abuja,Mercedes-Benz,S-Class,"2,016",Black,45.00,Foreign Used,"25,000"
VHL15453,Abuja,Toyota,Avalon Limited,"2,007",Gray,3.30,Nigerian Used,"102,536"
VHL18631,Lagos,Lexus,RX,"2,017",Black,20.00,Foreign Used,"20,063"
VHL12330,Abuja,Toyota,Corolla,"2,009",Silver,2.65,Nigerian Used,"90,000"
VHL12366,Lagos,Toyota,Camry LE FWD (2.5L 4cyl 8AM),"2,018",White,13.25,Foreign Used,
VHL13133,Lagos,Toyota,Camry,"2,011",Gray,3.40,Foreign Used,"96,045"
VHL14129,Abuja,Mercedes-Benz,E63,"2,021",Black,79.00,Brand New,
VHL17627,Abuja,Toyota,Corolla SE,"2,020",Black,19.00,Brand New,"6,128"
VHL19907,Ibadan,Mazda,MPV,"2,005",Silver,1.95,Foreign Used,
VHL17578,Ibadan,Chevrolet,Camaro,"2,015",Yellow,12.50,Foreign Used,"91,000"
VHL17982,Abuja,Rolls-Royce,Ghost Base EWB,"2,016",Gray,240.00,Foreign Used,"26,400"
VHL18497,Lagos,Ford,Edge,"2,012",White,5.63,Foreign Used,"1,284,898"
VHL19377,Abuja,Lexus,RX 350 2WD,"2,020",Beige,32.00,Brand New,
VHL16311,Ibadan,Hyundai,Santa Fe,"2,008",Gray,2.20,Nigerian Used,
VHL15686,Lagos,Toyota,4-Runner,"2,018",Blue,27.50,Foreign Used,"30,000"
VHL10970,Lagos,Toyota,Venza,"2,014",White,9.30,Foreign Used,"48,000"
VHL10979,Abuja,Honda,Accord,"2,014",Gold,6.50,Foreign Used,
VHL16269,Lagos,Mercedes-Benz,M Class ML 350 4Matic,"2,008",Black,5.70,Foreign Used,"80,000"
VHL18163,Lagos,Lexus,RX 350,"2,010",Ivory,9.50,Foreign Used,
VHL13506,Lagos,Land Rover,Range Rover Sport,"2,014",White,27.00,Foreign Used,
VHL11611,Lagos,Honda,Civic 1.8i-VTEC EXi Automatic,"2,006",White,1.69,Nigerian Used,"160,141"
VHL16047,Abuja,Kia,Soul 4dr Wagon (1.6L 4cyl 6M),"2,014",Silver,6.80,Foreign Used,"42,513"
VHL15222,Abuja,Toyota,Camry,"2,009",Green,3.70,Foreign Used,"92,000"
VHL19949,Abuja,Mercedes-Benz,E350,"2,010",White,6.50,Foreign Used,"65,238"
VHL12851,Abuja,Toyota,Picnic 2 FWD,"2,006",Blue,1.92,Nigerian Used,"120,420"
VHL12926,Abuja,Lexus,ES 350,"2,009",Silver,4.80,Foreign Used,
VHL19354,Lagos,Lexus,IS 250 AWD Automatic,"2,010",Black,4.30,Foreign Used,"96,000"
VHL13537,Lagos,Mercedes-Benz,M Class,"2,014",Black,15.00,Foreign Used,"51,000"
VHL19604,Lagos,Lexus,GX 460 Luxury,"2,016",Black,23.00,Foreign Used,
VHL12028,Abuja,Mercedes-Benz,C300,"2,009",Black,4.30,Foreign Used,"53,000"
VHL11759,Abuja,Toyota,Camry 2.4 LE,"2,008",Gray,2.60,Nigerian Used,
VHL17280,Abuja,Lexus,RX 350,"2,010",Silver,8.10,Foreign Used,
VHL13706,Lagos,Toyota,4-Runner Limited V6,"2,009",Gray,6.00,Foreign Used,"85,020"
VHL10056,Abuja,Toyota,Corolla,"2,014",Green,5.80,Foreign Used,"32,000"
VHL15891,Abuja,Mercedes-Benz,C300,"2,009",Black,5.00,Foreign Used,"45,000"
VHL11707,Lagos,Toyota,4-Runner Limited V6,"2,005",Gray,5.00,Foreign Used,"895,231"
VHL18958,Lagos,Mercedes-Benz,GLS-Class GLS450 4MATIC,"2,018",Black,56.25,Foreign Used,"56,263"
VHL15038,Abuja,Honda,Civic Sedan EX,"2,013",Black,4.50,Foreign Used,
VHL18950,Abuja,Honda,Accord,"2,019",Gray,15.00,Foreign Used,
VHL19475,Lagos,Lexus,ES,"2,013",White,8.50,Foreign Used,
VHL16827,Lagos,Honda,Accord,"1,997",Silver,0.62,Nigerian Used,"237,637"
VHL10753,Abuja,Lexus,ES 350,"2,008",White,4.30,Foreign Used,"65,000"
VHL15491,Ibadan,Nissan,Micra,"2,002",Gold,1.85,Foreign Used,"125,000"
VHL10658,Abuja,Toyota,4-Runner Limited,"2,004",Gray,1.30,Nigerian Used,"1,230,000"
VHL11818,Ibadan,Toyota,Corolla,"2,013",Gold,4.70,Foreign Used,"70,168"
VHL18269,Lagos,Lexus,RX 350 AWD,"2,015",Silver,13.50,Foreign Used,
VHL17088,Abuja,BMW,3 Series,"2,010",Black,3.38,Foreign Used,"261,704"
VHL11864,Abuja,Toyota,Venza V6,"2,009",Gold,6.10,Foreign Used,
VHL16436,Abuja,Toyota,Camry,"2,018",Silver,17.60,Foreign Used,"33,000"
VHL14197,Lagos,Toyota,RAV4 2.5 Sport 4x4,"2,011",Gray,6.10,Foreign Used,"65,000"
VHL13201,Lagos,Lexus,ES 350,"2,008",Silver,4.00,Foreign Used,"71,836"
VHL16762,Abuja,Toyota,RAV4 Limited V6,"2,007",Black,2.65,Nigerian Used,"136,529"
VHL15612,Lagos,Mercedes-Benz,GLE-Class,"2,017",Blue,27.00,Foreign Used,"65,000"
VHL17089,Lagos,Toyota,Highlander Limited,"2,008",Gray,6.50,Foreign Used,
VHL10414,Abuja,Lexus,LX 570,"2,012",Gray,28.50,Foreign Used,
VHL19070,Abuja,Toyota,Camry,"2,010",White,4.10,Foreign Used,"41,235"
VHL14915,Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,"2,013",Red,11.00,Foreign Used,"96,000"
VHL10414,Abuja,Mercedes-Benz,C350,"2,009",Gray,2.10,Nigerian Used,"135,511"
VHL12655,Lagos,Mercedes-Benz,GLA-Class,"2,015",Gray,11.70,Foreign Used,"85,000"
VHL19133,Lagos,Mercedes-Benz,GLA-Class,"2,015",Gray,16.50,Foreign Used,"32,000"
VHL13248,Abuja,Honda,Accord,"2,014",Burgandy,4.40,Nigerian Used,"95,683"
VHL19203,Abuja,Ford,Ranger,"2,018",Black,14.70,Foreign Used,"42,384"
VHL18928,Abuja,Mercedes-Benz,E350,"2,014",Gray,14.50,Foreign Used,
VHL12940,Lagos,Lexus,GX,"2,007",Gray,7.30,Foreign Used,
VHL15774,Lagos,Toyota,Corolla Sedan Automatic,"2,004",Blue,1.80,Nigerian Used,"258,908"
VHL13540,Abuja,Honda,Accord,"2,019",Gray,16.50,Foreign Used,"25,130"
VHL15505,Lagos,Honda,Civic,"2,014",Red,3.50,Nigerian Used,"79,000"
VHL19288,Abuja,Lexus,RX,"2,017",White,17.50,Nigerian Used,"37,000"
VHL18348,Lagos,Acura,MDX,"2,012",Black,5.55,Foreign Used,"65,200"
VHL15014,Abuja,Toyota,Matrix,"2,003",Green,1.91,Nigerian Used,"133,450"
VHL17835,Lagos,Lexus,RX 350,"2,011",White,9.50,Foreign Used,
VHL10108,Abuja,Toyota,Corolla,"2,014",Black,6.00,Foreign Used,
VHL15906,Abuja,Toyota,Camry,"2,013",Black,4.35,Nigerian Used,
VHL11775,Ibadan,Toyota,Camry,"2,012",Black,5.20,Foreign Used,
VHL17529,Lagos,Toyota,Venza V6,"2,010",White,7.30,Foreign Used,
VHL13246,Abuja,Hyundai,Sonata,"2,014",Gray,3.85,Foreign Used,"56,225"
VHL16785,Abuja,Toyota,Land Cruiser Prado,"2,021",Black,34.50,Brand New,"1,156"
VHL19955,Lagos,Toyota,Tacoma TRD Off Road,"2,019",White,25.00,Foreign Used,"42,671"
VHL10306,Abuja,Lexus,IS,"2,014",White,10.70,Foreign Used,"73,623"
VHL13446,Lagos,Honda,Stream,"2,003",Silver,1.91,Foreign Used,"196,184"
VHL17318,Abuja,Cadillac,Escalade,"2,020",Black,95.00,Foreign Used,"11,000"
VHL14106,Lagos,Toyota,Camry,"2,013",Red,6.20,Foreign Used,"63,000"
VHL10785,Lagos,Lexus,RX,"2,010",Black,8.50,Foreign Used,"754,365"
VHL10715,Abuja,Mercedes-Benz,GLK-Class,"2,015",Black,11.20,Foreign Used,
VHL10675,Lagos,Lexus,RX 350 FWD,"2,014",Silver,12.70,Foreign Used,
VHL12737,Lagos,Ford,Edge,"2,013",Blue,4.10,Nigerian Used,
VHL15823,Abuja,Hyundai,Tucson Limited AWD,"2,016",Silver,10.20,Foreign Used,
VHL14986,Abuja,Honda,Pilot,"2,018",Silver,16.50,Foreign Used,"22,000"
VHL10803,Ibadan,Toyota,Camry,"2,007",Gold,3.42,Foreign Used,
VHL15238,Abuja,Toyota,RAV4 LE AWD (2.5L 4cyl 6A),"2,013",Black,7.50,Foreign Used,"100,000"
VHL14506,Lagos,Lexus,GX 460 Base,"2,013",Gray,12.70,Nigerian Used,"25,000"
VHL14947,Lagos,Toyota,Camry 2.3 Hybrid,"2,007",Gold,3.60,Foreign Used,"74,053"
VHL13566,Abuja,Mercedes-Benz,GL-Class GL 450,"2,008",Blue,6.19,Foreign Used,"87,432"
VHL18328,Lagos,Toyota,Camry,"2,008",Blue,3.80,Foreign Used,
VHL13402,Ibadan,Toyota,RAV4 3.5 4x4,"2,010",Black,4.20,Foreign Used,"95,088"
VHL16138,Abuja,Land Rover,Rover LR3 SE,"2,005",Silver,2.00,Nigerian Used,
VHL19929,Abuja,Lexus,SC 430,"2,002",Silver,2.60,Nigerian Used,"101,348"
VHL17517,Lagos,Toyota,Corolla LE,"2,006",Blue,1.46,Nigerian Used,"169,259"
VHL11437,Lagos,Mercedes-Benz,GLK-Class,"2,014",Black,10.55,Foreign Used,"85,000"
VHL18348,Lagos,Mercedes-Benz,E350,"2,012",Black,5.63,Nigerian Used,"69,388"
VHL16026,Ibadan,Toyota,Corolla,"2,013",Red,4.10,Nigerian Used,"127,312"
VHL11614,Lagos,Lexus,ES 350,"2,008",Black,4.75,Foreign Used,"82,000"
VHL15099,Lagos,Lexus,RX 330,"2,005",Silver,3.55,Nigerian Used,"98,075"
VHL10248,Lagos,Lexus,ES 350,"2,007",Gold,4.30,Foreign Used,
VHL17929,Abuja,Kia,Optima,"2,013",Black,2.70,Nigerian Used,"78,000"
VHL13132,Lagos,Toyota,4-Runner Limited 4WD,"2,010",Black,13.70,Foreign Used,
VHL10961,Abuja,Toyota,Camry 2.4 LE,"2,008",Silver,1.80,Nigerian Used,
VHL12641,Abuja,Lexus,ES 350,"2,008",Gray,3.30,Nigerian Used,"128,046"
VHL11933,Lagos,Lexus,IS,"2,007",Black,3.26,,"93,331"
VHL13525,Abuja,Mercedes-Benz,C200,"2,021",White,68.00,Brand New,
VHL19562,Lagos,BMW,7 Series,"2,004",Green,2.14,Nigerian Used,1
VHL13325,Lagos,Lexus,ES 350,"2,009",Silver,4.50,Foreign Used,"89,000"
VHL18681,Lagos,Lexus,ES,"2,014",White,9.50,Foreign Used,
VHL10867,Ibadan,Lexus,RX 330,"2,005",Gray,4.85,Foreign Used,"78,000"
VHL13081,Lagos,Mercedes-Benz,GLK-Class 350 4MATIC,"2,010",White,7.38,Foreign Used,"73,340"
VHL19824,Lagos,Lexus,GX,"2,016",Black,13.50,Nigerian Used,"52,140"
VHL11732,Lagos,Mercedes-Benz,GL-Class,"2,013",Silver,8.41,,"106,199"
VHL10715,Lagos,Toyota,Camry,"2,009",Black,3.60,Foreign Used,
VHL14973,Abuja,Mercedes-Benz,CLA-Class,"2,014",Gray,7.80,Nigerian Used,
VHL14232,Lagos,Toyota,Corolla LE,"2,007",Gray,3.00,Foreign Used,"125,000"
VHL19788,Lagos,Toyota,Camry,"2,009",Gold,2.70,Nigerian Used,"107,036"
VHL14294,Lagos,Toyota,Tacoma PreRunner Access Cab,"2,006",White,5.50,Foreign Used,"75,000"
VHL17705,Lagos,Toyota,Land Cruiser Prado,"2,015",Black,17.80,Nigerian Used,
VHL10488,Lagos,Toyota,4-Runner,"2,015",Black,19.50,Foreign Used,
VHL16459,Lagos,Lexus,RX 350,"2,008",Silver,5.30,Foreign Used,
VHL10456,Lagos,Lexus,IS 350,"2,008",Silver,3.68,Foreign Used,"112,189"
VHL12567,Lagos,Toyota,Camry,"2,008",Silver,3.35,Foreign Used,
VHL17446,Abuja,Toyota,Venza,"2,011",Red,8.80,Foreign Used,"89,362"
VHL18501,Abuja,Ford,F-150 FX4,"2,010",Black,3.80,Nigerian Used,"127,565"
VHL10890,Lagos,Mazda,CX-9,"2,008",Red,4.28,Foreign Used,"284,391"
VHL13948,Abuja,Toyota,Tacoma,"2,015",Gray,9.50,Foreign Used,"44,268"
VHL10979,Abuja,Lexus,IS 250,"2,008",Silver,5.80,Foreign Used,"56,252"
VHL16205,Abuja,Mercedes-Benz,GLK-Class 350 4MATIC,"2,013",Black,5.85,Nigerian Used,"89,512"
VHL13080,Lagos,Mercedes-Benz,C300,"2,009",Black,5.50,Foreign Used,"84,000"
VHL19260,Lagos,Toyota,4-Runner Limited,"2,008",Gray,6.80,Foreign Used,"55,000"
VHL15912,Abuja,Toyota,Camry,"2,008",Silver,3.50,Foreign Used,
VHL17053,Abuja,Mercedes-Benz,E350,"2,007",Gray,2.25,Nigerian Used,"301,871"
VHL15886,Abuja,Toyota,Land Cruiser Prado,"2,020",Black,18.50,Nigerian Used,"306,521"
VHL10888,Ibadan,Toyota,Camry,"1,998",Gold,0.84,Nigerian Used,"294,800"
VHL11648,Abuja,Mercedes-Benz,M Class,"2,015",White,14.30,Foreign Used,
VHL18299,Lagos,Mercedes-Benz,GLE-Class,"2,016",White,35.50,Foreign Used,
VHL14802,Lagos,Toyota,RAV4 3.5 Sport,"2,010",Black,4.85,Foreign Used,"84,000"
VHL10913,Abuja,Mercedes-Benz,C230,"2,006",Red,2.20,Nigerian Used,
VHL14344,Abuja,BMW,328i,"2,007",Gray,2.80,Foreign Used,"80,000"
VHL16946,Lagos,Toyota,RAV4 2.5 4x4,"2,011",Black,5.60,Foreign Used,"52,483"
VHL11990,Abuja,Peugeot,407 2.2 Coupe,"2,009",Black,2.50,Foreign Used,"98,700"
VHL11997,Lagos,Toyota,Tacoma 4x4 Access Cab,"2,008",Black,6.50,Foreign Used,
VHL16350,Ibadan,Lexus,ES 300,"2,004",Black,1.88,Nigerian Used,"142,542"
VHL10346,Lagos,Lexus,ES,"2,006",Silver,3.60,Foreign Used,
VHL10680,Abuja,Mercedes-Benz,GL-Class GL 450,"2,011",Silver,6.50,Nigerian Used,
VHL17066,Abuja,Toyota,Land Cruiser Prado 4,"2,019",Black,35.00,Foreign Used,"4,125"
VHL15426,Lagos,Acura,MDX,"2,008",White,4.00,Foreign Used,"52,352"
VHL10221,Ibadan,Toyota,Camry,"2,009",Gold,3.50,Foreign Used,"103,850"
VHL17214,Lagos,Nissan,Pathfinder SE 4x4,"2,004",Silver,2.25,Nigerian Used,
VHL19271,Lagos,Toyota,Tacoma SR5,"2,017",Gray,18.00,Foreign Used,
VHL16825,Lagos,Lexus,ES,"2,004",White,3.50,Foreign Used,
VHL11915,Lagos,Mercedes-Benz,GL-Class,"2,014",Silver,9.70,Nigerian Used,"90,000"
VHL18164,Lagos,Toyota,Camry,"2,012",Black,6.50,Foreign Used,"74,158"
VHL16374,Abuja,Toyota,RAV4 Limited,"2,007",White,4.80,Foreign Used,"70,000"
VHL18880,Lagos,Toyota,Camry,"2,018",Black,12.45,Foreign Used,
VHL10289,Abuja,Mercedes-Benz,G-Class Base G 550 AWD,"2,019",White,135.00,Foreign Used,
VHL15328,Lagos,Lexus,GX 460 Premium,"2,011",Silver,14.80,Foreign Used,"78,523"
VHL16349,Abuja,Mercedes-Benz,E350,"2,009",Black,4.50,Foreign Used,
VHL15416,Lagos,Mercedes-Benz,CLA-Class,"2,019",White,15.80,Foreign Used,
VHL13233,Abuja,Toyota,Hilux,"2,020",White,19.70,Brand New,253
VHL17640,Abuja,Mercedes-Benz,M Class,"2,007",Black,2.95,Nigerian Used,
VHL18162,Lagos,Toyota,C-HR,"2,019",Red,18.50,Foreign Used,
VHL13669,Ibadan,Lexus,ES 350,"2,007",Gray,4.50,Foreign Used,"165,986"
VHL11657,Abuja,Toyota,Matrix,"2,006",Black,2.20,Foreign Used,"100,000"
VHL12949,Lagos,Lexus,RX 450h,"2,010",Blue,8.20,Foreign Used,"75,241"
VHL12741,Lagos,Lexus,GS 300,"2,005",Blue,3.94,Foreign Used,"184,460"
VHL16242,Abuja,Mercedes-Benz,E350,"2,011",White,4.55,Nigerian Used,"58,000"
VHL10670,Abuja,Land Rover,Range Rover Evoque R-Dynamic HSE AWD,"2,020",Gold,49.00,Foreign Used,"19,000"
VHL19531,Abuja,Nissan,Murano 3.5,"2,008",Black,2.85,Nigerian Used,"80,000"
VHL19274,Abuja,Chevrolet,Impala,"2,014",Black,5.00,Nigerian Used,
VHL15437,Ibadan,Toyota,Sienna LE AWD,"2,006",Gray,3.50,Foreign Used,"84,000"
VHL11804,Abuja,Mercedes-Benz,M Class,"2,006",Silver,4.00,Nigerian Used,"120,224"
VHL17491,Lagos,Mercedes-Benz,GLE-Class,"2,018",White,42.35,Foreign Used,
VHL14991,Lagos,Toyota,Highlander XLE 4x4 V6 (3.5L 6cyl 8A),"2,017",White,16.50,Foreign Used,
VHL18198,Abuja,Honda,Accord Sedan EX-L,"2,010",Black,2.65,Nigerian Used,
VHL19499,Abuja,Mercedes-Benz,G-Class G 63 AMG,"2,021",White,200.00,Brand New,
VHL12514,Lagos,Mercedes-Benz,C300,"2,011",Gray,5.80,Foreign Used,"74,690"
VHL17534,Lagos,Mercedes-Benz,GLE-Class,"2,021",Black,100.00,Foreign Used,
VHL17256,Ibadan,Nissan,Rogue,"2,011",Black,3.90,Foreign Used,"99,000"
VHL19653,Lagos,Toyota,Camry,"2,008",Black,3.85,Foreign Used,"74,225"
VHL10510,Lagos,Toyota,Camry,"2,009",Red,3.50,Foreign Used,
VHL19083,Abuja,Lexus,GX 460,"2,021",Black,47.00,Foreign Used,
VHL16397,Abuja,Toyota,Camry LE FWD (2.5L 4cyl 8AM),"2,018",Silver,13.80,Foreign Used,"5,859"
VHL13117,Lagos,Lexus,GX 460,"2,011",Silver,13.50,Foreign Used,
VHL14917,Lagos,Lexus,RX 350 AWD,"2,014",White,12.50,Nigerian Used,
VHL14271,Abuja,Toyota,Corolla 1.8 CE,"2,008",Black,3.00,Foreign Used,"75,000"
VHL17426,Abuja,Honda,Accord,"2,004",Blue,2.65,Foreign Used,"45,214"
VHL17160,Lagos,Toyota,Highlander XLE 4x4 V6 (3.5L 6cyl 8A),"2,018",Gray,15.00,Foreign Used,"63,000"
VHL10274,Abuja,Toyota,Sienna LE 8 Passenger,"2,010",Green,6.70,Foreign Used,"85,000"
VHL18836,Lagos,Lexus,IS 250,"2,007",Gray,4.40,Foreign Used,"81,000"
VHL16110,Ibadan,Toyota,Camry,"2,002",Silver,1.85,Foreign Used,"132,854"
VHL12621,Abuja,Toyota,Corolla,"2,012",Red,4.25,Foreign Used,
VHL18799,Abuja,Mercedes-Benz,GLS-Class GLS450 4Matic,"2,017",Gray,29.99,Foreign Used,
VHL10416,Lagos,Toyota,4-Runner Limited V6,"2,005",Black,4.20,Foreign Used,"985,231"
VHL15175,Abuja,Mercedes-Benz,C300,"2,015",Black,13.80,Foreign Used,"65,000"
VHL19217,Abuja,Toyota,Sienna,"2,014",Gray,7.90,Foreign Used,
VHL14181,Abuja,BMW,7 Series,"2,014",Blue,14.50,Nigerian Used,"68,532"
VHL12446,Abuja,Mercedes-Benz,GLK-Class 350 4MATIC,"2,013",Black,10.00,Foreign Used,"60,000"
VHL16062,Lagos,Lexus,RX 350,"2,008",Black,5.60,Foreign Used,"92,000"
VHL18212,Lagos,Mercedes-Benz,M Class ML 350 4Matic,"2,013",Blue,13.80,Foreign Used,
VHL13453,Abuja,Lexus,IS 250,"2,008",Blue,4.00,Nigerian Used,
VHL14360,Abuja,Toyota,Camry,"2,014",Black,5.50,Foreign Used,"65,000"
VHL14494,Lagos,Audi,Q5,"2,010",Gray,6.75,Foreign Used,"159,339"
VHL19260,Abuja,Toyota,Camry,"2,021",Gray,37.00,Brand New,"1,000"
VHL12220,Lagos,Lexus,ES,"2,010",Silver,5.50,Foreign Used,65
VHL15877,Abuja,Toyota,C-Hr,"2,018",Gold,15.50,Foreign Used,"5,124"
